from,to,value
Haji_Bajuri,KompasTV,1
Aby_zaky_,OposisiCerdas,2
saddw_,sksnprk,1
Rawit234234,susno2g,1
linajobstreett,syphayoaku,1
SmgMenfess2,dianiiiyy,1
JHaduw,bayoep,1
dhimasbagus13,hellodeka,1
bachrum_achmadi,bayoep,1
Riznan_13,txtdaribandung,1
Abah_Reborn,aisyahf69386234,1
bdngfess,i_ervans,1
anaksemute,tvindonesiawkwk,1
Johny_twee,_ekokuntadhi,1
uang_kripto,uang_kripto,1
sipalingkurus,temponewsroom,1
Ferdysambo1,regar_0p0sisi,1
Hanapuyyy,Hanapuyyy,1
berpikirq,budimandjatmiko,1
LKSMDR,agelmeip,1
Sariqoem,geloraco,1
Jonsontonga,KompasTV,2
Lily1Rafi,ZulkifliLubis69,1
M45Broo_,sudadmono,1
berlinrev,ekowboy2,1
Askrlfess,bekokjin,1
papa_loren,salsaaii,1
SulisWidjaya,salsaaii,1
DivHumas_Polri,Soehart84535338,1
LstwnA,salsaaii,1
991Jakarta,991Jakarta,3
bantallkusam,convomf,1
gurlshavingfun,titisandajal_,1
KangPri71570001,msaid_didu,1
Balieska1,Dennysiregar7,1
FreeStranger22,RakyatMadura,1
XxxOkin,tvindonesiawkwk,1
Ariefmantoi,detektive88,1
elonmusk,kzl_abiz,1
Dyra_Xannora,victory99x,1
BosTemlen,IskandarDompu3,1
radixwp,veroaktivis,1
Beng_Setiono,SitompulApul,1
alleshutapea,msaid_didu,1
sala_richard,sala_richard,1
Opposite6980,maskwayofficial,1
Pangondian74,UHarjito,1
Miss_warawiri,Qaulal_Djibril,1
SamosirNatar,alextham878,1
ameliazein,cyberarmy__,1
cobeh2021,zola_papazola,1
AQansa,Cintada16,1
GoyaJikko,soeyoto1,1
Lambehdower,OposisiCerdas,2
Dennysiregar7,hutauruk_alex,1
Lambehdower,democrazymedia,1
Lambehdower,Opposite090192,1
Prasetyo9Hh,tvOneNews,1
biancaubr,danielrlph,1
Ibrahim74219486,jokowi,1
iccank_Asli,msaid_didu,1
wiansaaaa,wiansaaaa,1
AbiJAF,tvOneNews,1
GhibranAkbar1,ruhutsitompul,1
LaseApoyHBB,ORakyat4,1
keuangannews_id,sala_richard,1
Herman03575306,sand_andri,1
DivHumas_Polri,Herman03575306,3
JeromePolin,sherman_aja_,1
vargrieveum,vargrieveum,1
Lucifer48178118,hipohan,1
PenikmatHibura2,UlfahNyimas,1
_ekokuntadhi,shmustofayahoo1,1
berkemas_id,cheesecroffle,1
agimugni,pdfperjuangan,1
Ferdysambo1,jokowi,3
FDerKanzler,Pikiranawam1,1
Dennysiregar7,Ferdysambo1,1
Ferdysambo1,msaid_didu,1
Ferdysambo1,benuaandin,1
Ferdysambo1,lysavana1,1
karmaisbitj,txtdrimedia,1
IlhamKusno2,JawiJowo,1
BradHarizz,Ferdysambo1,1
Ferdysambo1,kr1t1kp3d45_pro,1
Ferdysambo1,Usuludin321,3
Ferdysambo1,detikcom,3
inewsdotid,inewsdotid,12
gokenroll,kibor666,1
1febri,geloraco,1
